date,campaign,impressions,clicks,cost,conversions,revenue
2024-01-01,Summer Sale Campaign,125000,3250,975.50,125,2450.00
2024-01-02,Summer Sale Campaign,132000,3420,1026.00,138,2650.00
2024-01-03,Summer Sale Campaign,118000,2950,885.00,98,1890.00
2024-01-04,Summer Sale Campaign,145000,3625,1087.50,152,2920.00
2024-01-05,Summer Sale Campaign,128000,3200,960.00,118,2260.00
2024-01-01,Product Launch Campaign,89000,1780,712.00,89,1780.00
2024-01-02,Product Launch Campaign,95000,1900,760.00,95,1900.00
2024-01-03,Product Launch Campaign,102000,2040,816.00,102,2040.00
2024-01-04,Product Launch Campaign,88000,1760,704.00,88,1760.00
2024-01-05,Product Launch Campaign,92000,1840,736.00,92,1840.00
2024-01-01,Brand Awareness Campaign,210000,4200,1260.00,42,840.00
2024-01-02,Brand Awareness Campaign,225000,4500,1350.00,45,900.00
2024-01-03,Brand Awareness Campaign,198000,3960,1188.00,40,800.00
2024-01-04,Brand Awareness Campaign,215000,4300,1290.00,43,860.00
2024-01-05,Brand Awareness Campaign,205000,4100,1230.00,41,820.00
2024-01-01,Retargeting Campaign,45000,2250,1125.00,180,3600.00
2024-01-02,Retargeting Campaign,48000,2400,1200.00,192,3840.00
2024-01-03,Retargeting Campaign,42000,2100,1050.00,168,3360.00
2024-01-04,Retargeting Campaign,50000,2500,1250.00,200,4000.00
2024-01-05,Retargeting Campaign,46000,2300,1150.00,184,3680.00
2024-01-01,Seasonal Promotion,156000,3900,1170.00,156,3120.00
2024-01-02,Seasonal Promotion,162000,4050,1215.00,162,3240.00
2024-01-03,Seasonal Promotion,148000,3700,1110.00,148,2960.00
2024-01-04,Seasonal Promotion,170000,4250,1275.00,170,3400.00
2024-01-05,Seasonal Promotion,158000,3950,1185.00,158,3160.00

